Location,Date,Time,Vehicle_Count,Traffic_Density,Average_Speed,Road_Type,Weather,Accident_Reported,Signal_Status
Sector 22,2025-03-02,00:00:00,193,Low,55,Highway,Cloudy,No,Green
Industrial Area,2025-03-02,01:00:00,65,Low,52,Street,Foggy,No,Red
Sector 22,2025-03-02,02:00:00,1375,High,55,Highway,Foggy,No,Red
Sector 43,2025-03-02,03:00:00,472,Low,57,Street,Sunny,No,Yellow
Industrial Area,2025-03-02,04:00:00,294,Medium,79,Street,Rainy,No,Yellow
Sector 35,2025-03-02,05:00:00,976,Medium,40,Main Road,Rainy,No,Red
Sector 17,2025-03-02,06:00:00,1180,High,42,Street,Foggy,No,Green
Sector 35,2025-03-02,07:00:00,1161,Low,53,Main Road,Cloudy,No,Green
IT Park,2025-03-02,08:00:00,178,Medium,17,Main Road,Rainy,No,Yellow
Sector 43,2025-03-02,09:00:00,956,Medium,11,Main Road,Foggy,No,Yellow
Sector 35,2025-03-02,10:00:00,936,Medium,26,Street,Cloudy,No,Yellow
Sector 22,2025-03-02,11:00:00,390,Medium,61,Main Road,Sunny,No,Red
IT Park,2025-03-02,12:00:00,53,Low,54,Highway,Rainy,No,Red
IT Park,2025-03-02,13:00:00,1400,Low,46,Highway,Sunny,No,Yellow
Sector 35,2025-03-02,14:00:00,1483,Low,51,Street,Cloudy,No,Green
Sector 35,2025-03-02,15:00:00,1952,Low,53,Main Road,Foggy,No,Yellow
Sector 43,2025-03-02,16:00:00,355,Medium,47,Highway,Sunny,No,Yellow
Sector 17,2025-03-02,17:00:00,957,High,15,Street,Foggy,No,Green
Sector 35,2025-03-02,18:00:00,656,High,77,Street,Rainy,No,Green
Sector 35,2025-03-02,19:00:00,1794,Medium,60,Street,Sunny,No,Green
Industrial Area,2025-03-02,20:00:00,1298,Medium,44,Street,Rainy,No,Green
Sector 22,2025-03-02,21:00:00,1421,High,67,Street,Rainy,Yes,Red
Industrial Area,2025-03-02,22:00:00,1041,High,66,Main Road,Rainy,Yes,Red
Industrial Area,2025-03-02,23:00:00,370,Medium,15,Main Road,Rainy,No,Yellow
IT Park,2025-03-03,00:00:00,608,Medium,22,Main Road,Rainy,Yes,Red
Sector 17,2025-03-03,01:00:00,1254,Low,68,Main Road,Cloudy,No,Yellow
Sector 22,2025-03-03,02:00:00,667,Low,39,Street,Sunny,No,Yellow
Sector 43,2025-03-03,03:00:00,760,High,11,Street,Foggy,Yes,Green
Sector 43,2025-03-03,04:00:00,1459,Medium,67,Highway,Foggy,No,Green
Sector 35,2025-03-03,05:00:00,1691,High,45,Highway,Cloudy,No,Red
Sector 35,2025-03-03,06:00:00,1865,Low,54,Main Road,Foggy,No,Red
Sector 43,2025-03-03,07:00:00,1845,Low,18,Street,Foggy,No,Red
Sector 35,2025-03-03,08:00:00,1181,High,74,Highway,Foggy,No,Red
Sector 17,2025-03-03,09:00:00,580,Low,59,Highway,Sunny,No,Green
Industrial Area,2025-03-03,10:00:00,459,Medium,41,Highway,Foggy,Yes,Green
Sector 35,2025-03-03,11:00:00,1369,High,52,Highway,Sunny,No,Red
IT Park,2025-03-03,12:00:00,867,Medium,63,Main Road,Foggy,No,Yellow
Sector 35,2025-03-03,13:00:00,1244,Medium,56,Street,Foggy,No,Green
Sector 22,2025-03-03,14:00:00,1404,Low,23,Main Road,Sunny,No,Green
Sector 17,2025-03-03,15:00:00,542,Medium,57,Highway,Cloudy,No,Green
Sector 22,2025-03-03,16:00:00,1268,High,64,Highway,Foggy,No,Green
Sector 22,2025-03-03,17:00:00,61,Medium,38,Street,Rainy,No,Red
IT Park,2025-03-03,18:00:00,244,Medium,56,Street,Rainy,No,Red
Sector 17,2025-03-03,19:00:00,539,Medium,72,Main Road,Cloudy,No,Yellow
Sector 17,2025-03-03,20:00:00,844,Medium,28,Street,Rainy,Yes,Green
Sector 17,2025-03-03,21:00:00,930,Medium,18,Main Road,Sunny,No,Red
Sector 17,2025-03-03,22:00:00,231,Low,46,Main Road,Foggy,Yes,Red
Sector 17,2025-03-03,23:00:00,1011,High,61,Highway,Foggy,No,Green
IT Park,2025-03-04,00:00:00,1890,Low,66,Main Road,Foggy,No,Red
Sector 35,2025-03-04,01:00:00,705,High,37,Highway,Foggy,No,Red
Sector 22,2025-03-04,02:00:00,1971,High,45,Main Road,Rainy,Yes,Red
Sector 17,2025-03-04,03:00:00,1389,High,73,Main Road,Rainy,No,Yellow
Sector 35,2025-03-04,04:00:00,743,High,27,Street,Rainy,No,Red
Sector 35,2025-03-04,05:00:00,79,High,44,Street,Sunny,Yes,Green
Sector 22,2025-03-04,06:00:00,1669,Medium,77,Highway,Rainy,No,Green
IT Park,2025-03-04,07:00:00,1751,Low,48,Street,Rainy,No,Green
Sector 43,2025-03-04,08:00:00,1869,Low,17,Main Road,Foggy,No,Red
Sector 43,2025-03-04,09:00:00,1866,Medium,24,Highway,Rainy,No,Yellow
Sector 35,2025-03-04,10:00:00,1169,High,16,Highway,Cloudy,No,Red
Industrial Area,2025-03-04,11:00:00,1454,Low,26,Highway,Cloudy,No,Green
Industrial Area,2025-03-04,12:00:00,827,Medium,73,Main Road,Foggy,Yes,Yellow
Sector 22,2025-03-04,13:00:00,493,Medium,21,Street,Rainy,No,Yellow
Sector 43,2025-03-04,14:00:00,347,Low,65,Highway,Cloudy,Yes,Red
Sector 35,2025-03-04,15:00:00,857,Low,55,Main Road,Cloudy,Yes,Green
IT Park,2025-03-04,16:00:00,1810,High,56,Street,Sunny,No,Red
Sector 43,2025-03-04,17:00:00,894,High,25,Street,Foggy,No,Green
Sector 35,2025-03-04,18:00:00,1065,Low,78,Highway,Cloudy,No,Yellow
Sector 35,2025-03-04,19:00:00,1434,High,11,Main Road,Cloudy,No,Red
Sector 17,2025-03-04,20:00:00,1447,Medium,63,Street,Foggy,No,Yellow
IT Park,2025-03-04,21:00:00,603,High,36,Main Road,Rainy,No,Green
Sector 17,2025-03-04,22:00:00,352,High,40,Street,Foggy,No,Yellow
Sector 22,2025-03-04,23:00:00,470,Medium,50,Highway,Sunny,No,Yellow
Sector 17,2025-03-05,00:00:00,1319,High,45,Highway,Sunny,No,Yellow
Sector 17,2025-03-05,01:00:00,1793,Medium,56,Street,Sunny,No,Red
Sector 43,2025-03-05,02:00:00,1310,High,52,Main Road,Cloudy,No,Green
Industrial Area,2025-03-05,03:00:00,1607,Low,74,Street,Rainy,No,Yellow
Sector 35,2025-03-05,04:00:00,234,High,59,Main Road,Sunny,No,Yellow
IT Park,2025-03-05,05:00:00,517,Low,10,Street,Foggy,No,Yellow
Sector 17,2025-03-05,06:00:00,803,Low,66,Highway,Sunny,No,Yellow
IT Park,2025-03-05,07:00:00,412,Low,25,Main Road,Cloudy,No,Green
Industrial Area,2025-03-05,08:00:00,1356,Low,37,Highway,Sunny,Yes,Green
Industrial Area,2025-03-05,09:00:00,1626,Low,31,Main Road,Rainy,No,Red
Sector 17,2025-03-05,10:00:00,385,Medium,50,Street,Sunny,No,Green
Sector 22,2025-03-05,11:00:00,211,Medium,28,Highway,Rainy,No,Green
Sector 17,2025-03-05,12:00:00,1233,Medium,59,Highway,Rainy,No,Yellow
Sector 43,2025-03-05,13:00:00,1547,Low,68,Main Road,Foggy,No,Red
Sector 35,2025-03-05,14:00:00,1674,High,78,Main Road,Rainy,No,Red
Sector 22,2025-03-05,15:00:00,1395,Medium,43,Main Road,Cloudy,No,Yellow
Sector 17,2025-03-05,16:00:00,61,High,48,Highway,Cloudy,Yes,Red
IT Park,2025-03-05,17:00:00,1497,High,16,Street,Rainy,No,Green
Sector 22,2025-03-05,18:00:00,1146,Low,61,Main Road,Rainy,Yes,Red
Sector 22,2025-03-05,19:00:00,637,Low,69,Street,Sunny,No,Yellow
Sector 17,2025-03-05,20:00:00,1931,Low,61,Main Road,Sunny,No,Red
Sector 22,2025-03-05,21:00:00,250,Medium,33,Street,Foggy,No,Red
IT Park,2025-03-05,22:00:00,571,Low,35,Main Road,Sunny,No,Red
Industrial Area,2025-03-05,23:00:00,1937,Medium,19,Street,Cloudy,No,Yellow
Sector 22,2025-03-06,00:00:00,554,Medium,26,Highway,Sunny,No,Green
Industrial Area,2025-03-06,01:00:00,1811,Medium,11,Main Road,Foggy,No,Red
IT Park,2025-03-06,02:00:00,1761,Medium,36,Main Road,Foggy,No,Green
Sector 17,2025-03-06,03:00:00,837,Low,57,Highway,Rainy,No,Green
Sector 35,2025-03-06,04:00:00,1112,Medium,18,Main Road,Foggy,No,Green
Sector 22,2025-03-06,05:00:00,109,Low,32,Main Road,Rainy,No,Red
Sector 35,2025-03-06,06:00:00,627,Low,36,Highway,Cloudy,No,Green
IT Park,2025-03-06,07:00:00,370,Medium,52,Highway,Cloudy,No,Red
Sector 22,2025-03-06,08:00:00,1508,Low,16,Street,Sunny,No,Red
Industrial Area,2025-03-06,09:00:00,1709,High,72,Highway,Foggy,No,Red
Sector 43,2025-03-06,10:00:00,1749,Low,53,Highway,Cloudy,No,Green
Sector 35,2025-03-06,11:00:00,1481,Low,48,Main Road,Rainy,No,Red
Sector 22,2025-03-06,12:00:00,972,Medium,49,Highway,Foggy,Yes,Yellow
Sector 35,2025-03-06,13:00:00,1459,Medium,16,Main Road,Foggy,Yes,Yellow
Sector 22,2025-03-06,14:00:00,1744,Low,79,Highway,Rainy,Yes,Yellow
Sector 17,2025-03-06,15:00:00,618,Medium,34,Highway,Foggy,No,Red
Industrial Area,2025-03-06,16:00:00,1151,High,68,Street,Foggy,No,Yellow
Sector 35,2025-03-06,17:00:00,1267,High,22,Highway,Cloudy,No,Red
Sector 43,2025-03-06,18:00:00,1358,Medium,71,Highway,Rainy,No,Red
Sector 43,2025-03-06,19:00:00,576,Low,17,Main Road,Cloudy,No,Red
IT Park,2025-03-06,20:00:00,573,High,54,Main Road,Rainy,No,Green
Sector 22,2025-03-06,21:00:00,662,High,27,Street,Sunny,No,Yellow
Sector 35,2025-03-06,22:00:00,1229,Low,69,Highway,Foggy,No,Red
IT Park,2025-03-06,23:00:00,1413,Medium,69,Main Road,Foggy,No,Yellow
Sector 35,2025-03-07,00:00:00,174,High,11,Highway,Cloudy,No,Yellow
Sector 22,2025-03-07,01:00:00,920,Low,75,Street,Foggy,No,Green
Sector 43,2025-03-07,02:00:00,329,Low,23,Main Road,Foggy,No,Yellow
Sector 17,2025-03-07,03:00:00,966,High,57,Main Road,Cloudy,No,Red
Sector 43,2025-03-07,04:00:00,1979,Medium,65,Street,Cloudy,No,Red
IT Park,2025-03-07,05:00:00,671,High,21,Highway,Rainy,Yes,Yellow
Industrial Area,2025-03-07,06:00:00,895,Low,64,Main Road,Sunny,No,Yellow
Sector 17,2025-03-07,07:00:00,1942,High,37,Main Road,Cloudy,No,Green
IT Park,2025-03-07,08:00:00,1731,Medium,13,Street,Rainy,No,Red
Sector 22,2025-03-07,09:00:00,1801,Low,45,Street,Cloudy,No,Yellow
Sector 17,2025-03-07,10:00:00,1983,Medium,59,Street,Rainy,No,Yellow
IT Park,2025-03-07,11:00:00,723,High,12,Highway,Sunny,Yes,Red
Sector 22,2025-03-07,12:00:00,1201,High,10,Highway,Rainy,No,Yellow
Sector 43,2025-03-07,13:00:00,363,Medium,26,Highway,Rainy,No,Green
Industrial Area,2025-03-07,14:00:00,381,High,71,Street,Foggy,No,Yellow
Sector 22,2025-03-07,15:00:00,1223,Medium,57,Main Road,Cloudy,No,Yellow
Sector 35,2025-03-07,16:00:00,1527,High,71,Highway,Rainy,Yes,Green
Sector 22,2025-03-07,17:00:00,85,Medium,78,Street,Cloudy,No,Green
Sector 22,2025-03-07,18:00:00,1758,Medium,28,Highway,Rainy,No,Green
Industrial Area,2025-03-07,19:00:00,1493,Low,43,Main Road,Foggy,No,Red
Sector 35,2025-03-07,20:00:00,1095,Low,58,Main Road,Foggy,No,Yellow
IT Park,2025-03-07,21:00:00,255,Medium,56,Street,Sunny,No,Yellow
IT Park,2025-03-07,22:00:00,688,High,59,Main Road,Rainy,No,Green
Sector 22,2025-03-07,23:00:00,897,High,35,Street,Foggy,No,Red
Sector 35,2025-03-08,00:00:00,1429,High,65,Street,Cloudy,No,Green
Sector 35,2025-03-08,01:00:00,489,Medium,23,Street,Rainy,No,Yellow
Industrial Area,2025-03-08,02:00:00,778,Medium,34,Street,Rainy,No,Red
Sector 43,2025-03-08,03:00:00,1169,Medium,13,Main Road,Sunny,No,Red
IT Park,2025-03-08,04:00:00,990,Medium,41,Main Road,Cloudy,Yes,Yellow
Industrial Area,2025-03-08,05:00:00,213,Low,74,Main Road,Sunny,Yes,Red
Sector 17,2025-03-08,06:00:00,197,Medium,70,Main Road,Rainy,No,Red
IT Park,2025-03-08,07:00:00,1603,High,29,Street,Sunny,No,Green
Industrial Area,2025-03-08,08:00:00,343,Low,19,Street,Rainy,No,Red
IT Park,2025-03-08,09:00:00,244,High,43,Main Road,Rainy,No,Green
Sector 43,2025-03-08,10:00:00,712,Medium,70,Highway,Sunny,Yes,Red
Sector 17,2025-03-08,11:00:00,529,Low,36,Highway,Sunny,No,Green
Sector 43,2025-03-08,12:00:00,1950,Medium,49,Highway,Rainy,No,Green
Sector 17,2025-03-08,13:00:00,172,Low,74,Main Road,Sunny,No,Red
Sector 22,2025-03-08,14:00:00,1473,High,42,Street,Sunny,Yes,Green
Industrial Area,2025-03-08,15:00:00,748,Medium,77,Street,Rainy,No,Yellow
Sector 17,2025-03-08,16:00:00,1014,Medium,18,Highway,Cloudy,No,Yellow
Sector 43,2025-03-08,17:00:00,1525,Low,25,Highway,Sunny,No,Red
IT Park,2025-03-08,18:00:00,710,Low,14,Street,Sunny,No,Red
Sector 17,2025-03-08,19:00:00,1177,Medium,32,Highway,Foggy,No,Red
Industrial Area,2025-03-08,20:00:00,1828,Low,52,Highway,Cloudy,No,Yellow
Sector 17,2025-03-08,21:00:00,1535,Medium,66,Street,Sunny,No,Red
Sector 35,2025-03-08,22:00:00,1816,Low,60,Highway,Rainy,No,Red
IT Park,2025-03-08,23:00:00,1791,High,22,Highway,Foggy,No,Green
Industrial Area,2025-03-09,00:00:00,759,Low,33,Main Road,Foggy,No,Red
Industrial Area,2025-03-09,01:00:00,445,High,20,Highway,Foggy,No,Yellow
Sector 22,2025-03-09,02:00:00,961,Low,61,Main Road,Sunny,No,Yellow
Sector 43,2025-03-09,03:00:00,1410,Low,26,Street,Rainy,No,Red
Sector 22,2025-03-09,04:00:00,1054,Medium,46,Main Road,Foggy,No,Yellow
Industrial Area,2025-03-09,05:00:00,1672,Low,22,Street,Cloudy,No,Green
IT Park,2025-03-09,06:00:00,1215,Low,71,Main Road,Foggy,No,Green
Sector 17,2025-03-09,07:00:00,366,High,17,Main Road,Foggy,No,Red
Sector 17,2025-03-09,08:00:00,1784,Low,65,Main Road,Cloudy,No,Red
IT Park,2025-03-09,09:00:00,1631,Medium,79,Highway,Foggy,No,Green
Industrial Area,2025-03-09,10:00:00,1873,High,53,Highway,Foggy,No,Green
Sector 17,2025-03-09,11:00:00,1600,Medium,69,Highway,Cloudy,No,Red
Sector 17,2025-03-09,12:00:00,1629,Medium,50,Highway,Sunny,Yes,Yellow
Sector 17,2025-03-09,13:00:00,1474,Medium,30,Highway,Cloudy,No,Red
Sector 43,2025-03-09,14:00:00,730,Medium,51,Main Road,Sunny,No,Red
Sector 43,2025-03-09,15:00:00,1383,High,38,Highway,Sunny,No,Red
Sector 35,2025-03-09,16:00:00,544,Low,74,Street,Sunny,No,Red
Sector 22,2025-03-09,17:00:00,605,Medium,26,Main Road,Cloudy,No,Red
IT Park,2025-03-09,18:00:00,659,High,39,Main Road,Cloudy,Yes,Red
IT Park,2025-03-09,19:00:00,1846,Medium,35,Street,Sunny,No,Red
IT Park,2025-03-09,20:00:00,158,Low,62,Highway,Cloudy,No,Yellow
Sector 35,2025-03-09,21:00:00,1868,High,28,Street,Sunny,No,Red
Sector 43,2025-03-09,22:00:00,421,High,62,Main Road,Cloudy,No,Green
Industrial Area,2025-03-09,23:00:00,904,Low,26,Main Road,Rainy,Yes,Red
Industrial Area,2025-03-10,00:00:00,665,High,55,Main Road,Cloudy,No,Yellow
Sector 35,2025-03-10,01:00:00,817,Low,62,Street,Cloudy,No,Green
Industrial Area,2025-03-10,02:00:00,1964,High,73,Highway,Cloudy,No,Red
IT Park,2025-03-10,03:00:00,255,High,54,Main Road,Sunny,No,Red
Sector 22,2025-03-10,04:00:00,896,Low,58,Highway,Sunny,No,Green
Sector 17,2025-03-10,05:00:00,92,Low,28,Main Road,Rainy,No,Red
Sector 43,2025-03-10,06:00:00,914,High,74,Highway,Rainy,No,Yellow
Sector 43,2025-03-10,07:00:00,1318,High,46,Street,Foggy,No,Red
Sector 35,2025-03-10,08:00:00,1360,Low,79,Main Road,Rainy,Yes,Yellow
Sector 43,2025-03-10,09:00:00,1428,Low,35,Main Road,Sunny,No,Red
IT Park,2025-03-10,10:00:00,834,High,11,Main Road,Rainy,No,Green
Industrial Area,2025-03-10,11:00:00,525,High,68,Street,Rainy,No,Yellow
IT Park,2025-03-10,12:00:00,132,High,14,Street,Cloudy,Yes,Red
Sector 35,2025-03-10,13:00:00,1183,Low,46,Highway,Rainy,No,Red
IT Park,2025-03-10,14:00:00,239,High,40,Street,Foggy,No,Green
Industrial Area,2025-03-10,15:00:00,849,Medium,57,Main Road,Cloudy,No,Green
Sector 22,2025-03-10,16:00:00,985,Low,15,Highway,Sunny,No,Yellow
Sector 35,2025-03-10,17:00:00,1982,High,24,Street,Foggy,No,Yellow
Sector 22,2025-03-10,18:00:00,300,Low,24,Highway,Sunny,No,Yellow
Sector 17,2025-03-10,19:00:00,1797,Medium,70,Highway,Foggy,No,Red
Sector 22,2025-03-10,20:00:00,340,Low,25,Highway,Cloudy,No,Red
Sector 17,2025-03-10,21:00:00,1718,High,29,Main Road,Foggy,No,Yellow
Sector 17,2025-03-10,22:00:00,1274,Medium,53,Main Road,Foggy,No,Red
Sector 22,2025-03-10,23:00:00,1870,Medium,51,Street,Rainy,Yes,Green
Sector 35,2025-03-11,00:00:00,375,High,55,Main Road,Sunny,No,Red
Industrial Area,2025-03-11,01:00:00,1584,High,43,Highway,Cloudy,No,Yellow
IT Park,2025-03-11,02:00:00,1482,High,73,Highway,Foggy,No,Red
IT Park,2025-03-11,03:00:00,1680,Low,38,Main Road,Sunny,No,Green
Industrial Area,2025-03-11,04:00:00,1863,Low,12,Highway,Sunny,No,Yellow
Sector 17,2025-03-11,05:00:00,886,Low,18,Main Road,Rainy,No,Yellow
Sector 17,2025-03-11,06:00:00,557,High,34,Highway,Sunny,No,Yellow
Sector 35,2025-03-11,07:00:00,780,High,51,Street,Cloudy,No,Yellow
Sector 43,2025-03-11,08:00:00,1674,Low,55,Street,Rainy,Yes,Red
Sector 22,2025-03-11,09:00:00,121,Medium,68,Main Road,Foggy,No,Green
Sector 17,2025-03-11,10:00:00,1320,Low,30,Main Road,Cloudy,No,Red
IT Park,2025-03-11,11:00:00,690,Medium,31,Main Road,Cloudy,No,Red
Sector 35,2025-03-11,12:00:00,1797,High,38,Main Road,Cloudy,No,Yellow
Sector 22,2025-03-11,13:00:00,989,High,72,Main Road,Rainy,No,Green
Sector 35,2025-03-11,14:00:00,1928,Low,70,Highway,Sunny,No,Red
Sector 22,2025-03-11,15:00:00,657,Low,73,Street,Cloudy,No,Green
Sector 22,2025-03-11,16:00:00,1660,High,78,Highway,Sunny,No,Green
Industrial Area,2025-03-11,17:00:00,615,Low,49,Street,Sunny,No,Green
Sector 17,2025-03-11,18:00:00,1417,High,10,Highway,Cloudy,No,Green
Sector 35,2025-03-11,19:00:00,1998,High,74,Highway,Sunny,No,Red
Sector 35,2025-03-11,20:00:00,103,Medium,71,Highway,Rainy,No,Green
Industrial Area,2025-03-11,21:00:00,1803,Low,63,Main Road,Rainy,Yes,Red
IT Park,2025-03-11,22:00:00,577,High,69,Street,Foggy,No,Green
IT Park,2025-03-11,23:00:00,660,Low,55,Main Road,Sunny,No,Green
Sector 17,2025-03-12,00:00:00,1605,Medium,14,Main Road,Sunny,No,Red
Sector 17,2025-03-12,01:00:00,1631,Medium,31,Highway,Foggy,No,Yellow
Sector 43,2025-03-12,02:00:00,242,Low,62,Street,Rainy,No,Red
Industrial Area,2025-03-12,03:00:00,1968,Low,79,Street,Foggy,No,Green
IT Park,2025-03-12,04:00:00,107,High,41,Street,Foggy,No,Red
Sector 22,2025-03-12,05:00:00,1510,Medium,20,Street,Foggy,No,Green
Sector 35,2025-03-12,06:00:00,1184,Medium,19,Main Road,Sunny,No,Red
Sector 17,2025-03-12,07:00:00,178,Medium,48,Main Road,Sunny,No,Red
Sector 35,2025-03-12,08:00:00,1922,Low,40,Street,Sunny,No,Red
Sector 35,2025-03-12,09:00:00,755,High,21,Main Road,Sunny,No,Yellow
Sector 43,2025-03-12,10:00:00,1998,Low,47,Street,Cloudy,No,Red
IT Park,2025-03-12,11:00:00,901,Low,76,Main Road,Foggy,No,Red
Sector 17,2025-03-12,12:00:00,1399,Low,75,Highway,Foggy,No,Yellow
Sector 35,2025-03-12,13:00:00,57,High,61,Highway,Sunny,No,Yellow
Sector 17,2025-03-12,14:00:00,78,Low,14,Street,Rainy,No,Green
Sector 22,2025-03-12,15:00:00,1185,Medium,20,Street,Cloudy,No,Green
Sector 43,2025-03-12,16:00:00,996,Medium,34,Main Road,Cloudy,No,Red
Sector 22,2025-03-12,17:00:00,1746,Medium,44,Street,Rainy,No,Green
Sector 17,2025-03-12,18:00:00,180,High,44,Street,Sunny,No,Red
Sector 17,2025-03-12,19:00:00,237,Low,31,Main Road,Cloudy,No,Yellow
IT Park,2025-03-12,20:00:00,1748,High,46,Street,Cloudy,No,Yellow
Sector 35,2025-03-12,21:00:00,758,Low,64,Street,Foggy,No,Red
Sector 35,2025-03-12,22:00:00,1548,Medium,73,Highway,Foggy,No,Green
Sector 22,2025-03-12,23:00:00,1437,Low,29,Highway,Sunny,No,Green
Sector 43,2025-03-13,00:00:00,1277,Low,13,Highway,Sunny,No,Green
Industrial Area,2025-03-13,01:00:00,261,Low,27,Street,Foggy,No,Red
Sector 35,2025-03-13,02:00:00,1694,High,60,Main Road,Foggy,No,Green
IT Park,2025-03-13,03:00:00,325,Low,77,Highway,Foggy,No,Yellow
Sector 22,2025-03-13,04:00:00,1146,Low,29,Street,Rainy,No,Yellow
Sector 22,2025-03-13,05:00:00,1752,Low,18,Highway,Cloudy,No,Yellow
Industrial Area,2025-03-13,06:00:00,1845,High,35,Main Road,Sunny,No,Yellow
IT Park,2025-03-13,07:00:00,292,High,34,Main Road,Sunny,No,Yellow
Sector 43,2025-03-13,08:00:00,1860,High,77,Main Road,Rainy,No,Yellow
IT Park,2025-03-13,09:00:00,1175,Low,50,Main Road,Foggy,No,Yellow
Sector 43,2025-03-13,10:00:00,1036,Medium,68,Main Road,Cloudy,No,Yellow
IT Park,2025-03-13,11:00:00,734,Medium,54,Main Road,Foggy,No,Yellow
IT Park,2025-03-13,12:00:00,220,Medium,50,Street,Sunny,No,Red
Sector 17,2025-03-13,13:00:00,702,Low,47,Highway,Rainy,No,Red
Sector 22,2025-03-13,14:00:00,1982,Medium,28,Main Road,Cloudy,No,Yellow
IT Park,2025-03-13,15:00:00,237,Medium,23,Highway,Cloudy,No,Yellow
Industrial Area,2025-03-13,16:00:00,1514,Medium,30,Highway,Cloudy,No,Yellow
IT Park,2025-03-13,17:00:00,1159,Low,24,Street,Cloudy,No,Green
Sector 35,2025-03-13,18:00:00,1549,Medium,12,Main Road,Rainy,No,Red
Sector 22,2025-03-13,19:00:00,101,Medium,46,Main Road,Sunny,No,Yellow
Sector 35,2025-03-13,20:00:00,160,Low,55,Street,Cloudy,No,Red
Sector 22,2025-03-13,21:00:00,926,High,25,Street,Cloudy,No,Yellow
Sector 35,2025-03-13,22:00:00,1927,Medium,23,Street,Sunny,Yes,Green
IT Park,2025-03-13,23:00:00,1116,High,18,Street,Foggy,Yes,Yellow
IT Park,2025-03-14,00:00:00,260,Medium,16,Street,Cloudy,No,Red
Sector 17,2025-03-14,01:00:00,1273,Low,23,Highway,Cloudy,No,Red
Industrial Area,2025-03-14,02:00:00,1883,High,15,Street,Foggy,No,Red
Sector 35,2025-03-14,03:00:00,907,High,24,Main Road,Sunny,No,Red
Sector 43,2025-03-14,04:00:00,1825,High,61,Main Road,Sunny,No,Yellow
Sector 17,2025-03-14,05:00:00,676,High,43,Street,Cloudy,No,Green
Sector 35,2025-03-14,06:00:00,1099,Medium,10,Street,Sunny,No,Green
Sector 35,2025-03-14,07:00:00,1992,Medium,78,Street,Foggy,No,Yellow
Sector 17,2025-03-14,08:00:00,348,High,29,Street,Rainy,No,Yellow
IT Park,2025-03-14,09:00:00,1150,Medium,16,Street,Foggy,No,Red
Sector 35,2025-03-14,10:00:00,973,High,16,Main Road,Foggy,No,Yellow
IT Park,2025-03-14,11:00:00,186,High,59,Highway,Rainy,No,Green
Sector 17,2025-03-14,12:00:00,1093,Low,11,Street,Foggy,No,Yellow
IT Park,2025-03-14,13:00:00,489,High,56,Street,Cloudy,No,Yellow
Sector 22,2025-03-14,14:00:00,260,Medium,23,Street,Cloudy,No,Green
Sector 43,2025-03-14,15:00:00,801,High,40,Main Road,Sunny,No,Green
Sector 35,2025-03-14,16:00:00,1624,Low,59,Main Road,Sunny,No,Yellow
Industrial Area,2025-03-14,17:00:00,484,Medium,70,Highway,Foggy,No,Red
Sector 43,2025-03-14,18:00:00,829,Low,50,Highway,Cloudy,No,Red
IT Park,2025-03-14,19:00:00,1280,Low,23,Highway,Cloudy,Yes,Red
Sector 35,2025-03-14,20:00:00,488,High,14,Highway,Rainy,No,Green
IT Park,2025-03-14,21:00:00,1852,Low,14,Main Road,Sunny,No,Green
Sector 22,2025-03-14,22:00:00,715,Low,73,Highway,Cloudy,No,Red
Sector 17,2025-03-14,23:00:00,1115,Medium,38,Street,Foggy,No,Yellow
Sector 35,2025-03-15,00:00:00,460,Low,14,Main Road,Cloudy,No,Yellow
Sector 22,2025-03-15,01:00:00,1596,High,45,Main Road,Sunny,No,Yellow
Sector 22,2025-03-15,02:00:00,855,High,28,Main Road,Foggy,No,Green
Sector 35,2025-03-15,03:00:00,659,High,73,Street,Sunny,No,Green
IT Park,2025-03-15,04:00:00,476,Low,31,Main Road,Cloudy,No,Red
Industrial Area,2025-03-15,05:00:00,1348,Medium,43,Street,Cloudy,No,Yellow
Sector 22,2025-03-15,06:00:00,1521,High,65,Highway,Cloudy,No,Green
Sector 43,2025-03-15,07:00:00,951,Low,26,Main Road,Sunny,No,Green
Sector 22,2025-03-15,08:00:00,991,High,65,Street,Foggy,No,Red
Industrial Area,2025-03-15,09:00:00,1957,High,26,Main Road,Cloudy,Yes,Yellow
IT Park,2025-03-15,10:00:00,791,Medium,27,Highway,Cloudy,Yes,Green
IT Park,2025-03-15,11:00:00,1442,High,54,Main Road,Cloudy,No,Green
Sector 43,2025-03-15,12:00:00,1293,Medium,65,Highway,Rainy,No,Green
Sector 22,2025-03-15,13:00:00,1650,Low,59,Main Road,Rainy,No,Green
IT Park,2025-03-15,14:00:00,1940,High,67,Street,Foggy,No,Yellow
Industrial Area,2025-03-15,15:00:00,1305,Low,27,Highway,Sunny,No,Red
Sector 35,2025-03-15,16:00:00,377,Low,16,Main Road,Cloudy,No,Yellow
Sector 17,2025-03-15,17:00:00,1516,Low,19,Highway,Cloudy,No,Red
Sector 17,2025-03-15,18:00:00,101,High,78,Highway,Sunny,No,Green
Sector 17,2025-03-15,19:00:00,1959,Medium,12,Street,Sunny,Yes,Yellow
Sector 22,2025-03-15,20:00:00,425,High,53,Street,Foggy,No,Red
Sector 43,2025-03-15,21:00:00,312,Low,79,Street,Sunny,No,Red
IT Park,2025-03-15,22:00:00,316,Medium,23,Street,Cloudy,No,Green
